Gene ID	source_id	Product Description	Input Ortholog(s)	gene_source_id	Gene Name or Symbol	
PF3D7_0109600	PF3D7_0109600.1	cold-shock protein, putative	PVP01_0205500	PF3D7_0109600	N/A	
PF3D7_0109700	PF3D7_0109700.1	rRNA biogenesis protein RRP36, putative	PVP01_0205400	PF3D7_0109700	RRP36	
PF3D7_0109800	PF3D7_0109800.1	phenylalanine--tRNA ligase alpha subunit	PVP01_0205300	PF3D7_0109800	cPheRS	
PF3D7_0109850	PF3D7_0109850.1	phosphatidate cytidylyltransferase, putative	PVP01_0205200	PF3D7_0109850	N/A	
PF3D7_0109950	PF3D7_0109950.1	conserved protein, unknown function	PVP01_0205100	PF3D7_0109950	N/A	
PF3D7_0110000	PF3D7_0110000.1	conserved Plasmodium protein, unknown function	PVP01_0205000	PF3D7_0110000	N/A	
PF3D7_0110100	PF3D7_0110100.1	selenocysteine-specific elongation factor, putative	PVP01_0204900	PF3D7_0110100	SELB	
PF3D7_0110200	PF3D7_0110200.1	FAD-linked sulfhydryl oxidase ERV1, putative	PVP01_0204800	PF3D7_0110200	ERV1	
PF3D7_0110400	PF3D7_0110400.1	DNA-directed RNA polymerase II subunit RPB9, putative	PVP01_0204700	PF3D7_0110400	RPB9	
PF3D7_0110600	PF3D7_0110600.1	phosphatidylinositol-4-phosphate 5-kinase	PVP01_0204500	PF3D7_0110600	PIP5K	
PF3D7_0110700	PF3D7_0110700.1	chromatin assembly factor 1 subunit C, putative	PVP01_0204400	PF3D7_0110700	CAF1C	
PF3D7_0110800	PF3D7_0110800.1	transcription initiation factor TFIIB, putative	PVP01_0204300	PF3D7_0110800	N/A	
PF3D7_0110900	PF3D7_0110900.1	adenylate kinase-like protein 1	PVP01_0204200	PF3D7_0110900	AKLP1	
PF3D7_0111000	PF3D7_0111000.1	kinesin-8B, putative	PVP01_0204100	PF3D7_0111000	N/A	
PF3D7_0111200	PF3D7_0111200.1	conserved protein, unknown function	PVP01_0204000	PF3D7_0111200	N/A	
PF3D7_0111300	PF3D7_0111300.1	P-loop containing nucleoside triphosphate hydrolase, putative	PVP01_0203900	PF3D7_0111300	N/A	
PF3D7_0111500	PF3D7_0111500.1	UMP-CMP kinase, putative	PVP01_0203700	PF3D7_0111500	N/A	
PF3D7_0111600	PF3D7_0111600.1	conserved Plasmodium protein, unknown function	PVP01_0203600	PF3D7_0111600	N/A	
PF3D7_0111700	PF3D7_0111700.1	conserved protein, unknown function	PVP01_0203500	PF3D7_0111700	N/A	
PF3D7_0111800	PF3D7_0111800.1	eukaryotic translation initiation factor 4E, putative	PVP01_0203400	PF3D7_0111800	N/A	
PF3D7_0111900	PF3D7_0111900.1	conserved protein, unknown function	PVP01_0203300	PF3D7_0111900	N/A	
PF3D7_0112000	PF3D7_0112000.1	TatD-like deoxyribonuclease	PVP01_0203200	PF3D7_0112000	TatD	
PF3D7_0112100	PF3D7_0112100.1	conserved Plasmodium protein, unknown function	PVP01_0203100	PF3D7_0112100	N/A	
PF3D7_0112200	PF3D7_0112200.1	multidrug resistance-associated protein 1	PVP01_0203000	PF3D7_0112200	MRP1	
PF3D7_0202500	PF3D7_0202500.1	early transcribed membrane protein 2	PVP01_0422600	PF3D7_0202500	ETRAMP2	
PF3D7_0202700	PF3D7_0202700.1	octaprenyl pyrophosphate synthase	PVP01_0422400	PF3D7_0202700	OPP	
PF3D7_0202800	PF3D7_0202800.1	conserved Plasmodium protein, unknown function	PVP01_0422300	PF3D7_0202800	N/A	
PF3D7_0202900	PF3D7_0202900.1	palmitoyltransferase DHHC12, putative	PVP01_0422200	PF3D7_0202900	DHHC12	
PF3D7_0203100	PF3D7_0203100.1	protein kinase, putative	PVP01_0422000	PF3D7_0203100	N/A	
PF3D7_0203200	PF3D7_0203200.1	conserved Plasmodium protein, unknown function	PVP01_0421900	PF3D7_0203200	N/A	
PF3D7_0203300	PF3D7_0203300.1	ERCC1 nucleotide excision repair protein, putative	PVP01_0421800	PF3D7_0203300	ERCC1	
PF3D7_0203400	PF3D7_0203400.1	conserved Plasmodium protein, unknown function	PVP01_0421700	PF3D7_0203400	N/A	
PF3D7_0203600	PF3D7_0203600.1	conserved Plasmodium protein, unknown function	PVP01_0421500	PF3D7_0203600	N/A	
PF3D7_0203700	PF3D7_0203700.1	protein MAK16, putative	PVP01_0421400	PF3D7_0203700	MAK16	
PF3D7_0203800	PF3D7_0203800.1	conserved Plasmodium protein, unknown function	PVP01_0421300	PF3D7_0203800	N/A	
PF3D7_0203900	PF3D7_0203900.1	5'-3' exonuclease, putative	PVP01_0421200	PF3D7_0203900	N/A	
PF3D7_0204000	PF3D7_0204000.1	condensin-2 complex subunit H2, putative	PVP01_0421100	PF3D7_0204000	CAPH2	
PF3D7_0204100	PF3D7_0204100.1	Sel1 repeat-containing protein, putative	PVP01_0421000	PF3D7_0204100	N/A	
PF3D7_0204200	PF3D7_0204200.1	conserved Plasmodium protein, unknown function	PVP01_0420900	PF3D7_0204200	N/A	
PF3D7_0204300	PF3D7_0204300.1	conserved Plasmodium protein, unknown function	PVP01_0420800	PF3D7_0204300	N/A	
PF3D7_0204400	PF3D7_0204400.1	dynein light chain, putative	PVP01_0420700	PF3D7_0204400	N/A	
PF3D7_0204500	PF3D7_0204500.1	aspartate transaminase	PVP01_0420600	PF3D7_0204500	AspAT	
PF3D7_0204600	PF3D7_0204600.1	5'-3' exonuclease, putative	PVP01_0420500	PF3D7_0204600	N/A	
PF3D7_0204700	PF3D7_0204700.1	hexose transporter	PVP01_0420400	PF3D7_0204700	HT1	
PF3D7_0204800	PF3D7_0204800.1	3'-5' exonuclease, putative	PVP01_0420300	PF3D7_0204800	N/A	
PF3D7_0204900	PF3D7_0204900.1	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative	PVP01_0420200	PF3D7_0204900	COQ5	
PF3D7_0205200	PF3D7_0205200.1	MORN repeat protein, putative	PVP01_0419900	PF3D7_0205200	N/A	
PF3D7_0205400	PF3D7_0205400.1	PCI domain-containing protein, putative	PVP01_0419700	PF3D7_0205400	N/A	
PF3D7_0205500	PF3D7_0205500.1	DNA-directed RNA polymerase II 16 kDa subunit, putative	PVP01_0419600	PF3D7_0205500	N/A	
PF3D7_0205600	PF3D7_0205600.1	conserved Plasmodium protein, unknown function	PVP01_0419500	PF3D7_0205600	N/A	
PF3D7_0205700	PF3D7_0205700.1	RNA-binding protein, putative	PVP01_0419400	PF3D7_0205700	N/A	
PF3D7_0205700	PF3D7_0205700.2	RNA-binding protein, putative	PVP01_0419400	PF3D7_0205700	N/A	
PF3D7_0205800	PF3D7_0205800.1	PH domain-containing protein, putative	PVP01_0419300	PF3D7_0205800	PH1	
PF3D7_0205900	PF3D7_0205900.1	26S proteasome regulatory subunit RPN1, putative	PVP01_0419200	PF3D7_0205900	RPN1	
PF3D7_0206000	PF3D7_0206000.1	DNA repair protein RAD2, putative	PVP01_0419100	PF3D7_0206000	RAD2	
PF3D7_0206100	PF3D7_0206100.1	cysteine desulfuration protein SufE	PVP01_0419000	PF3D7_0206100	SufE	
PF3D7_0206200	PF3D7_0206200.1	pantothenate transporter	PVP01_0418900	PF3D7_0206200	PAT	
PF3D7_0206600	PF3D7_0206600.1	DNA-directed RNA polymerase III subunit RPC10, putative	PVP01_0418600	PF3D7_0206600	N/A	
PF3D7_0206700	PF3D7_0206700.1	adenylosuccinate lyase	PVP01_0418500	PF3D7_0206700	ADSL	
PF3D7_0206900	PF3D7_0206900.1	merozoite surface protein 5	PVP01_0418300,PVP01_0418400	PF3D7_0206900	MSP5	
PF3D7_0206900	PF3D7_0206900.2	merozoite surface protein 5	PVP01_0418300,PVP01_0418400	PF3D7_0206900	MSP5	
PF3D7_0207100	PF3D7_0207100.1	conserved Plasmodium protein, unknown function	PVP01_0418200	PF3D7_0207100	N/A	
PF3D7_0207200	PF3D7_0207200.1	iron-sulfur assembly protein, putative	PVP01_0418100	PF3D7_0207200	ISCA1	
PF3D7_0207300	PF3D7_0207300.1	serine repeat antigen 8	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207300	SERA8	
PF3D7_0207400	PF3D7_0207400.1	serine repeat antigen 7	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207400	SERA7	
PF3D7_0207500	PF3D7_0207500.1	serine repeat antigen 6	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207500	SERA6	
PF3D7_0207600	PF3D7_0207600.1	serine repeat antigen 5	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207600	SERA5	
PF3D7_0207700	PF3D7_0207700.1	serine repeat antigen 4	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207700	SERA4	
PF3D7_0207800	PF3D7_0207800.1	serine repeat antigen 3	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207800	SERA3	
PF3D7_0207900	PF3D7_0207900.1	serine repeat antigen 2	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0207900	SERA2	
PF3D7_0208000	PF3D7_0208000.1	serine repeat antigen 1	PVP01_0416800,PVP01_0416900,PVP01_0417000,PVP01_0417100,PVP01_0417200,PVP01_0417300,PVP01_0417400,PVP01_0417500,PVP01_0417600,PVP01_0417700,PVP01_0417800,PVP01_0417900,PVP01_0418000	PF3D7_0208000	SERA1	
PF3D7_0208100	PF3D7_0208100.1	conserved Plasmodium protein, unknown function	PVP01_0416700	PF3D7_0208100	N/A	
PF3D7_0208200	PF3D7_0208200.1	KRR1 small subunit processome component, putative	PVP01_0416600	PF3D7_0208200	KRR1	
PF3D7_0208300	PF3D7_0208300.1	conserved Plasmodium protein, unknown function	PVP01_0416500	PF3D7_0208300	N/A	
PF3D7_0208400	PF3D7_0208400.1	conserved Plasmodium protein, unknown function	PVP01_0416400	PF3D7_0208400	N/A	
PF3D7_0208500	PF3D7_0208500.1	acyl carrier protein	PVP01_0416300	PF3D7_0208500	ACP	
PF3D7_0208600	PF3D7_0208600.1	ribosome-recycling factor	PVP01_0416200	PF3D7_0208600	RRF1	
PF3D7_0208700	PF3D7_0208700.1	SHS2 domain-containing protein, putative	PVP01_0416100	PF3D7_0208700	N/A	
PF3D7_0208700	PF3D7_0208700.2	unspecified product	PVP01_0416100	PF3D7_0208700	N/A	
PF3D7_0208800	PF3D7_0208800.1	conserved Plasmodium protein, unknown function	PVP01_0416000	PF3D7_0208800	N/A	
PF3D7_0208900	PF3D7_0208900.1	6-cysteine protein P230p	PVP01_0415900	PF3D7_0208900	P230p	
PF3D7_0209000	PF3D7_0209000.1	6-cysteine protein P230	PVP01_0415800	PF3D7_0209000	P230	
PF3D7_0209100	PF3D7_0209100.1	patatin-like phospholipase 1	PVP01_0415700	PF3D7_0209100	PATPL1	
PF3D7_0209200	PF3D7_0209200.1	exosome complex component MTR3, putative	PVP01_0415600	PF3D7_0209200	MTR3	
PF3D7_0209300	PF3D7_0209300.1	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	PVP01_0415500	PF3D7_0209300	IspF	
PF3D7_0209400	PF3D7_0209400.1	conserved protein, unknown function	PVP01_0415400	PF3D7_0209400	N/A	
PF3D7_0209600	PF3D7_0209600.1	transporter, putative	PVP01_0415200	PF3D7_0209600	N/A	
PF3D7_0209700	PF3D7_0209700.1	RING zinc finger protein, putative	PVP01_0415100	PF3D7_0209700	N/A	
PF3D7_0209800	PF3D7_0209800.1	ATP-dependent RNA helicase UAP56	PVP01_0415000	PF3D7_0209800	UAP56	
PF3D7_0210000	PF3D7_0210000.1	secretory complex protein 61 gamma subunit	PVP01_0414900	PF3D7_0210000	Sec61-gamma	
PF3D7_0210100	PF3D7_0210100.1	60S ribosomal protein L37ae, putative	PVP01_0414800	PF3D7_0210100	N/A	
PF3D7_0210100	PF3D7_0210100.2	60S ribosomal protein L37ae, putative	PVP01_0414800	PF3D7_0210100	N/A	
PF3D7_0210200	PF3D7_0210200.1	conserved Plasmodium protein, unknown function	PVP01_0414700	PF3D7_0210200	N/A	
PF3D7_0210300	PF3D7_0210300.1	monocarboxylate transporter, putative	PVP01_0414600	PF3D7_0210300	N/A	
PF3D7_0210400	PF3D7_0210400.1	50S ribosomal protein L33, putative	PVP01_0414500	PF3D7_0210400	N/A	
PF3D7_0210500	PF3D7_0210500.1	conserved Plasmodium protein, unknown function	PVP01_0414400	PF3D7_0210500	N/A	
PF3D7_0210600	PF3D7_0210600.1	protein CERLI1	PVP01_0414300	PF3D7_0210600	CERLI1	
PF3D7_0210700	PF3D7_0210700.1	syntaxin, Qa-SNARE family	PVP01_0414200	PF3D7_0210700	SYN17	
PF3D7_0210800	PF3D7_0210800.1	conserved Plasmodium protein, unknown function	PVP01_0414100	PF3D7_0210800	N/A	
PF3D7_0210900	PF3D7_0210900.1	conserved Plasmodium protein, unknown function	PVP01_0414000	PF3D7_0210900	N/A	
PF3D7_0211100	PF3D7_0211100.1	conserved Plasmodium protein, unknown function	PVP01_0413900	PF3D7_0211100	N/A	
PF3D7_0211200	PF3D7_0211200.1	ras-related protein Rab-5A	PVP01_0413800	PF3D7_0211200	RAB5a	
PF3D7_0211300	PF3D7_0211300.1	ubiquinol-cytochrome-c reductase complex assembly factor 1, putative	PVP01_0413700	PF3D7_0211300	N/A	
PF3D7_0211400	PF3D7_0211400.1	beta-ketoacyl-ACP synthase III	PVP01_0413600	PF3D7_0211400	KASIII	
PF3D7_0211500	PF3D7_0211500.1	GAF domain-related protein, putative	PVP01_0413500	PF3D7_0211500	N/A	
PF3D7_0211600	PF3D7_0211600.1	UDP-N-acetylglucosamine transferase subunit ALG14, putative	PVP01_0413300	PF3D7_0211600	ALG14	
PF3D7_0211700	PF3D7_0211700.1	tyrosine kinase-like protein, putative	PVP01_0413200	PF3D7_0211700	TKL1	
PF3D7_0211800	PF3D7_0211800.1	asparagine--tRNA ligase	PVP01_0413100	PF3D7_0211800	AsnRS	
PF3D7_0211900	PF3D7_0211900.1	pseudouridine synthase, putative	PVP01_0413000	PF3D7_0211900	N/A	
PF3D7_0212000	PF3D7_0212000.1	GDP-fructose:GMP antiporter, putative	PVP01_0412900	PF3D7_0212000	N/A	
PF3D7_0212200	PF3D7_0212200.1	ribosomal protein L12, mitochondrial, putative	PVP01_0412700	PF3D7_0212200	N/A	
PF3D7_0212300	PF3D7_0212300.1	eukaryotic peptide chain release factor subunit 1, putative	PVP01_0412600	PF3D7_0212300	ERF1	
PF3D7_0212400	PF3D7_0212400.1	conserved Plasmodium membrane protein, unknown function	PVP01_0412500	PF3D7_0212400	N/A	
PF3D7_0212500	PF3D7_0212500.1	conserved Plasmodium protein, unknown function	PVP01_0412400	PF3D7_0212500	N/A	
PF3D7_0212600	PF3D7_0212600.1	secreted protein with altered thrombospondin repeat domain	PVP01_0412300	PF3D7_0212600	SPATR	
PF3D7_0212700	PF3D7_0212700.1	SRR1-like protein	PVP01_0412200	PF3D7_0212700	N/A	
PF3D7_0212800	PF3D7_0212800.1	multidrug efflux pump, putative	PVP01_0412100	PF3D7_0212800	MATE	
PF3D7_0212900	PF3D7_0212900.1	arginyl-tRNA--protein transferase	PVP01_0412000	PF3D7_0212900	ATEL1	
PF3D7_0213000	PF3D7_0213000.1	conserved protein, unknown function	PVP01_0411900	PF3D7_0213000	N/A	
PF3D7_0213100	PF3D7_0213100.1	protein SIS1	PVP01_0411800	PF3D7_0213100	SIS1	
PF3D7_0213200	PF3D7_0213200.1	conserved protein, unknown function	PVP01_0411600,PVP01_0411700	PF3D7_0213200	N/A	
PF3D7_0213300	PF3D7_0213300.1	conserved protein, unknown function	PVP01_0411600,PVP01_0411700	PF3D7_0213300	N/A	
PF3D7_0213400	PF3D7_0213400.1	protein kinase 7	PVP01_0411500	PF3D7_0213400	PK7	
PF3D7_0213500	PF3D7_0213500.1	tetratricopeptide repeat protein, putative	PVP01_0411400	PF3D7_0213500	N/A	
PF3D7_0213600	PF3D7_0213600.1	conserved Plasmodium protein, unknown function	PVP01_0411300	PF3D7_0213600	N/A	
PF3D7_0213700	PF3D7_0213700.1	conserved protein, unknown function	PVP01_0411200	PF3D7_0213700	N/A	
PF3D7_0213800	PF3D7_0213800.1	conserved protein, unknown function	PVP01_0411100	PF3D7_0213800	N/A	
PF3D7_0213900	PF3D7_0213900.1	RTR1 domain-containing protein, putative	PVP01_0411000	PF3D7_0213900	N/A	
PF3D7_0214000	PF3D7_0214000.1	T-complex protein 1 subunit theta	PVP01_0410900	PF3D7_0214000	CCT8	
PF3D7_0214100	PF3D7_0214100.1	protein transport protein SEC31	PVP01_0410800	PF3D7_0214100	SEC31	
PF3D7_0214200	PF3D7_0214200.1	ribosomal protein L13, mitochondrial	PVP01_0410700	PF3D7_0214200	mRPL13	
PF3D7_0214400	PF3D7_0214400.1	conserved protein, unknown function	PVP01_0410500	PF3D7_0214400	N/A	
PF3D7_0214500	PF3D7_0214500.1	conserved Plasmodium protein, unknown function	PVP01_0410400	PF3D7_0214500	N/A	
PF3D7_0214700	PF3D7_0214700.1	conserved Plasmodium protein, unknown function	PVP01_0410200	PF3D7_0214700	N/A	
PF3D7_0214800	PF3D7_0214800.1	conserved Plasmodium membrane protein, unknown function	PVP01_0410100	PF3D7_0214800	N/A	
PF3D7_0214900	PF3D7_0214900.1	rhoptry neck protein 6	PVP01_0410000	PF3D7_0214900	RON6	
PF3D7_0215000	PF3D7_0215000.1	acyl-CoA synthetase	PVP01_0409900	PF3D7_0215000	ACS9	
PF3D7_0215100	PF3D7_0215100.1	RING zinc finger protein, putative	PVP01_0409800	PF3D7_0215100	N/A	
PF3D7_0215200	PF3D7_0215200.1	conserved Plasmodium protein, unknown function	PVP01_0409700	PF3D7_0215200	N/A	
PF3D7_0215300	PF3D7_0215300.1	acyl-CoA synthetase	PVP01_0409900	PF3D7_0215300	ACS8	
PF3D7_0215400	PF3D7_0215400.1	conserved Plasmodium protein, unknown function	PVP01_0409600	PF3D7_0215400	N/A	
PF3D7_0215600	PF3D7_0215600.1	conserved Plasmodium protein, unknown function	PVP01_0409400	PF3D7_0215600	N/A	
PF3D7_0215700	PF3D7_0215700.1	DNA-directed RNA polymerase II subunit RPB2, putative	PVP01_0409300	PF3D7_0215700	RPB2	
PF3D7_0215800	PF3D7_0215800.1	origin recognition complex subunit 5	PVP01_0409200	PF3D7_0215800	ORC5	
PF3D7_0215900	PF3D7_0215900.1	palmitoyltransferase DHHC11, putative	PVP01_0409100	PF3D7_0215900	DHHC11	
PF3D7_0216000	PF3D7_0216000.1	DEAD/DEAH box helicase, putative	PVP01_0409000	PF3D7_0216000	N/A	
PF3D7_0216100	PF3D7_0216100.1	conserved Plasmodium protein, unknown function	PVP01_0408900	PF3D7_0216100	N/A	
PF3D7_0216200	PF3D7_0216200.1	Alba domain-containing protein, putative	PVP01_0408800	PF3D7_0216200	N/A	
PF3D7_0216300	PF3D7_0216300.1	conserved Plasmodium protein, unknown function	PVP01_0408700	PF3D7_0216300	N/A	
PF3D7_0216400	PF3D7_0216400.1	vacuolar protein sorting-associated protein 45	PVP01_0408600	PF3D7_0216400	VPS45	
PF3D7_0216500	PF3D7_0216500.1	conserved Plasmodium protein, unknown function	PVP01_0408500	PF3D7_0216500	N/A	
PF3D7_0216600	PF3D7_0216600.1	sugar transporter, putative	PVP01_0408400	PF3D7_0216600	N/A	
