Gene ID	source_id	Product Description	Gene Name or Symbol	gene_source_id	P. falciparum Su Seven Stages RNA Seq data - Ring - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - unique (3D7 7Stages RNA-Seq)	
PF3D7_0107900	PF3D7_0107900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0107900	5.95	23.68	23.42	5.23	82.49	234.55	30.54	
PF3D7_0108000	PF3D7_0108000.1	proteasome subunit beta type-3, putative	N/A	PF3D7_0108000	232.5	235.03	659.23	413.74	648.42	325.28	113.19	
PF3D7_0108100	PF3D7_0108100.1	conserved protein, unknown function	N/A	PF3D7_0108100	2.67	2.18	10.54	3.46	18.04	129.6	11.32	
PF3D7_0108300	PF3D7_0108300.1	conserved Plasmodium protein, unknown function	ARP	PF3D7_0108300	388.38	1242.76	299.25	434.82	119.95	74	115.58	
PF3D7_0108400	PF3D7_0108400.1	mitochondrial carrier protein, putative	N/A	PF3D7_0108400	23.61	19.9	18.65	3.74	74.81	154.39	53.92	
PF3D7_0108400	PF3D7_0108400.2	mitochondrial carrier protein, putative	N/A	PF3D7_0108400	23.61	19.9	18.65	3.74	74.81	154.39	53.92	
PF3D7_0108500	PF3D7_0108500.1	EELM2 domain-containing protein, putative	N/A	PF3D7_0108500	67946.36	4429.38	5837.77	9957.67	2338.05	892.88	526.07	
PF3D7_0108600	PF3D7_0108600.1	DnaJ domain-containing protein, putative	N/A	PF3D7_0108600	65.68	13.31	35.05	10.76	58.87	260.96	75.9	
PF3D7_0108700	PF3D7_0108700.1	secreted ookinete protein, putative	PSOP24	PF3D7_0108700	47.3	92.16	128.4	50.48	29.82	47.72	176.73	
PF3D7_0108800	PF3D7_0108800.1	mitochondrial carrier protein, putative	N/A	PF3D7_0108800	15.22	36.78	54.52	29.73	113.78	566.62	175.79	
PF3D7_0109000	PF3D7_0109000.1	photosensitized INA-labeled protein PHIL1	PHIL1	PF3D7_0109000	12.84	2.72	244.28	210.99	3772.69	1805.81	429.67	
PF3D7_0109100	PF3D7_0109100.1	LCCL domain-containing protein	CCp5	PF3D7_0109100	2.86	0.55	7.41	10.02	41.82	103.57	92.42	
PF3D7_0109200	PF3D7_0109200.1	cleavage and polyadenylation specificity factor subunit 5, putative	CFIM25	PF3D7_0109200	28.93	38.13	66.58	28.35	387.84	344.14	70.22	
PF3D7_0109300	PF3D7_0109300.1	elongation of fatty acids protein, putative	N/A	PF3D7_0109300	1.93	1.58	6.58	3.83	62.49	162.54	3.07	
PF3D7_0109400	PF3D7_0109400.1	tubulin-specific chaperone a, putative	N/A	PF3D7_0109400	17.97	36.69	58.18	13.6	4322.59	2131.99	466.09	
PF3D7_0109500	PF3D7_0109500.1	N-acetyltransferase, GNAT family, putative	N/A	PF3D7_0109500	83.87	388.53	377.99	324.15	1179.6	2358.06	394.08	
PF3D7_0109600	PF3D7_0109600.1	cold-shock protein, putative	N/A	PF3D7_0109600	21	18.26	13.26	4.1	319.43	293.98	13.13	
PF3D7_0109700	PF3D7_0109700.1	rRNA biogenesis protein RRP36, putative	RRP36	PF3D7_0109700	63.41	66.33	17.45	12.34	141.6	166.41	113.17	
PF3D7_0109800	PF3D7_0109800.1	phenylalanine--tRNA ligase alpha subunit	cPheRS	PF3D7_0109800	61.06	50.8	51.04	13.62	24.65	21	79.19	
PF3D7_0109850	PF3D7_0109850.1	phosphatidate cytidylyltransferase, putative	N/A	PF3D7_0109850	5.98	1.63	32.41	40.1	52.88	304.34	49.83	
PF3D7_0109950	PF3D7_0109950.1	conserved protein, unknown function	N/A	PF3D7_0109950	8.09	5.47	56.1	15.97	549.07	1545.47	271.5	
PF3D7_0110000	PF3D7_0110000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0110000	14.94	13.25	79.5	43.91	4159.99	1545.12	780.59	
PF3D7_0110100	PF3D7_0110100.1	selenocysteine-specific elongation factor, putative	SELB	PF3D7_0110100	13.33	16	13.78	3.75	17.07	83.29	13.26	
PF3D7_0110200	PF3D7_0110200.1	FAD-linked sulfhydryl oxidase ERV1, putative	ERV1	PF3D7_0110200	7.87	13.83	28.09	2.87	78.24	133.51	30.99	
PF3D7_0110400	PF3D7_0110400.1	DNA-directed RNA polymerase II subunit RPB9, putative	RPB9	PF3D7_0110400	39.65	79.45	85.74	28.07	57.27	228.18	120.97	
PF3D7_0110500	PF3D7_0110500.1	bromodomain protein 3, putative	BDP3	PF3D7_0110500	13.85	49.01	23.37	5.69	35.73	44.92	48.36	
PF3D7_0110600	PF3D7_0110600.1	phosphatidylinositol-4-phosphate 5-kinase	PIP5K	PF3D7_0110600	332.84	347.5	143.17	73.1	57.68	44.29	230.07	
PF3D7_0110700	PF3D7_0110700.1	chromatin assembly factor 1 subunit C, putative	CAF1C	PF3D7_0110700	21.92	64.43	156.92	49.87	322.41	59.12	133.09	
PF3D7_0110800	PF3D7_0110800.1	transcription initiation factor TFIIB, putative	N/A	PF3D7_0110800	106.04	165.12	126.24	60.01	90.25	79.22	144.15	
PF3D7_0110900	PF3D7_0110900.1	adenylate kinase-like protein 1	AKLP1	PF3D7_0110900	20.9	15.02	6.02	1.1	31.38	28.41	5.3	
PF3D7_0111000	PF3D7_0111000.1	kinesin-8B, putative	N/A	PF3D7_0111000	5.27	1.9	36.34	35.95	7.05	30.48	235.23	
PF3D7_0111200	PF3D7_0111200.1	conserved protein, unknown function	N/A	PF3D7_0111200	1.73	1.04	6.81	4.21	47.9	68.48	25.29	
PF3D7_0111300	PF3D7_0111300.1	P-loop containing nucleoside triphosphate hydrolase, putative	N/A	PF3D7_0111300	4.07	4.33	27.35	11.66	7.84	36.27	15.71	
PF3D7_0111400	PF3D7_0111400.1	conserved Plasmodium protein, unknown function	GEXP19	PF3D7_0111400	3.31	2.7	15.08	5.74	16.32	63.59	107.57	
PF3D7_0111500	PF3D7_0111500.1	UMP-CMP kinase, putative	N/A	PF3D7_0111500	7.46	16.75	77.46	90.44	59.94	49.05	79.96	
PF3D7_0111600	PF3D7_0111600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0111600	1.59	11.28	10.55	4.97	56.56	194	41.81	
PF3D7_0111700	PF3D7_0111700.1	conserved protein, unknown function	N/A	PF3D7_0111700	3.36	12.98	11.31	3.5	30.83	27.84	0	
PF3D7_0111800	PF3D7_0111800.1	eukaryotic translation initiation factor 4E, putative	N/A	PF3D7_0111800	9.76	35.69	34.58	7.64	9.26	24.54	31.93	
PF3D7_0111900	PF3D7_0111900.1	conserved protein, unknown function	N/A	PF3D7_0111900	16.58	54.8	113.41	25.17	201.8	147.49	90.69	
PF3D7_0112000	PF3D7_0112000.1	TatD-like deoxyribonuclease	TatD	PF3D7_0112000	9.23	9.23	18.99	5.53	8.38	23.56	35.41	
PF3D7_0112100	PF3D7_0112100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0112100	2.76	1.25	0	0	1.43	6.39	991.55	
PF3D7_0112200	PF3D7_0112200.1	multidrug resistance-associated protein 1	MRP1	PF3D7_0112200	4.38	45.85	38.52	13.59	1.48	2.49	1.63	
PF3D7_0112800	PF3D7_0112800.1	Plasmodium exported protein (hyp11), unknown function	N/A	PF3D7_0112800	12.22	0.25	7.97	0	33.94	245.02	34.02	
PF3D7_0112900	PF3D7_0112900.1	Plasmodium exported protein, unknown function	N/A	PF3D7_0112900	13.78	4.86	4.41	5.46	6.21	31.07	26.23	
PF3D7_0113000	PF3D7_0113000.1	glutamic acid-rich protein GARP	GARP	PF3D7_0113000	779.23	4240.22	190.44	25.11	98.73	10.27	91.21	
PF3D7_0113100	PF3D7_0113100.1	surface-associated interspersed protein 1.1 (SURFIN 1.1)	SURF1.1	PF3D7_0113100	5.93	0.46	1.02	0	0.75	3.41	62.45	
PF3D7_0113200	PF3D7_0113200.1	Plasmodium exported protein, unknown function	N/A	PF3D7_0113200	16.14	323.77	123.56	37.59	15.63	18.39	92.8	
PF3D7_0113300	PF3D7_0113300.1	Plasmodium exported protein (hyp1), unknown function	N/A	PF3D7_0113300	196.25	14.75	14.19	1.41	3.21	10.28	5.08	
PF3D7_0113400	PF3D7_0113400.1	Plasmodium exported protein, unknown function	N/A	PF3D7_0113400	6.03	0.83	0.77	0.48	12.22	10.84	24.1	
PF3D7_0113600	PF3D7_0113600.1	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene	SURF1.2	PF3D7_0113600	7.12	0.84	1.1	0	2.04	3.29	21.2	
PF3D7_0113700	PF3D7_0113700.1	heat shock protein 40, type II	HSP40	PF3D7_0113700	107.37	57.02	20.39	1.02	7.86	11.45	137.78	
PF3D7_0113800	PF3D7_0113800.1	DBL containing protein, unknown function	N/A	PF3D7_0113800	143.52	10.97	2.7	0.14	1.17	1.2	9.4	
PF3D7_0113900	PF3D7_0113900.1	CX3CL1-binding protein 1	CBP1	PF3D7_0113900	101.9	28.25	8.89	2.54	41.36	166.46	46.73	
PF3D7_0114000	PF3D7_0114000.1	exported protein family 1	EPF1	PF3D7_0114000	9.75	5.09	7.8	2.54	49.06	42.69	81.61	
PF3D7_0114100	PF3D7_0114100.1	Pfmc-2TM Maurer's cleft two transmembrane protein	MC-2TM	PF3D7_0114100	0	0.22	1.99	0	0	0.61	19.4	
PF3D7_0114200	PF3D7_0114200.1	exported protein family 3	EPF3	PF3D7_0114200	2.44	0.44	0.12	0	0.34	0.6	0	
PF3D7_0114300	PF3D7_0114300.1	exported protein family 4, pseudogene	EPF4	PF3D7_0114300	3.54	3.67	0.91	0	1.83	6.77	4.65	
PF3D7_0114400	PF3D7_0114400.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	VAR	PF3D7_0114400	2.59	0.33	0.18	0.9	0.51	0.15	0	
PF3D7_0114500	PF3D7_0114500.1	Plasmodium exported protein (hyp10), unknown function	N/A	PF3D7_0114500	1.02	14.72	1.5	0	6.34	30.23	0	
PF3D7_0114600	PF3D7_0114600.1	stevor, pseudogene	N/A	PF3D7_0114600	5.43	0.82	0.27	0.66	0.37	1.12	0	
PF3D7_0114700	PF3D7_0114700.1	rifin	RIF	PF3D7_0114700	7.52	2.84	1.03	0	1.09	0.22	0	
PF3D7_0114800	PF3D7_0114800.1	Plasmodium exported protein (hyp7), unknown function	N/A	PF3D7_0114800	5.64	8.71	0	0	1.11	0	0	
PF3D7_0114900	PF3D7_0114900.1	Plasmodium exported protein, unknown function, pseudogene	N/A	PF3D7_0114900	4.27	0.72	0.39	0	1.66	17.48	0	
PF3D7_0115000	PF3D7_0115000.1	surface-associated interspersed protein 1.3 (SURFIN 1.3)	SURF1.3	PF3D7_0115000	0.59	0.03	0	0.11	0.18	0.18	0	
PF3D7_0115100	PF3D7_0115100.1	Plasmodium exported protein (PHISTa), unknown function	N/A	PF3D7_0115100	0.19	0	0	0	0	2.62	0	
PF3D7_0115150	PF3D7_0115150.1	Plasmodium exported protein, unknown function, pseudogene	N/A	PF3D7_0115150	0.28	0.25	0	0	0	0	0	
PF3D7_0115200	PF3D7_0115200.1	rifin	RIF	PF3D7_0115200	4.6	3.32	0.23	0	2.23	0.38	0	
PF3D7_0115300	PF3D7_0115300.1	rifin	RIF	PF3D7_0115300	4.2	0.45	0.74	0	0.35	0	0	
PF3D7_0115400	PF3D7_0115400.1	stevor	N/A	PF3D7_0115400	5.44	0.51	1.1	0	0	0.69	0	
PF3D7_0115500	PF3D7_0115500.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	N/A	PF3D7_0115500	2.35	0	0	0	0	2.74	0	
PF3D7_0115600	PF3D7_0115600.1	rifin	RIF	PF3D7_0115600	16.99	1.21	6.47	0	5.56	2.02	0	
PF3D7_0115700	PF3D7_0115700.1	erythrocyte membrane protein 1, PfEMP1	VAR	PF3D7_0115700	21.46	1.85	1.08	0.19	2.08	0.86	0.45	
PF3D7_0200100	PF3D7_0200100.1	erythrocyte membrane protein 1, PfEMP1	VAR	PF3D7_0200100	40.39	4.15	1.12	2.89	2.67	1.06	0	
PF3D7_0200200	PF3D7_0200200.1	rifin	RIF	PF3D7_0200200	6.76	3.66	1.12	0.62	22.07	1.88	0	
PF3D7_0200300	PF3D7_0200300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2	N/A	PF3D7_0200300	0.51	0	0	0	0	0.16	0	
PF3D7_0200400	PF3D7_0200400.1	stevor	N/A	PF3D7_0200400	0.37	0	0	0	0	0	0	
PF3D7_0200500	PF3D7_0200500.1	rifin	RIF	PF3D7_0200500	0	0.96	0	0.56	0	0	0	
PF3D7_0200600	PF3D7_0200600.1	rifin	RIF	PF3D7_0200600	0.45	0.81	0	0	0.62	0.19	0	
PF3D7_0200700	PF3D7_0200700.1	rifin	RIF	PF3D7_0200700	1.2	0.15	0	0	0.35	0	0	
PF3D7_0200800	PF3D7_0200800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	N/A	PF3D7_0200800	0	0	0	0	0	0	0	
PF3D7_0200900	PF3D7_0200900.1	stevor, pseudogene	N/A	PF3D7_0200900	1.33	1.71	0	0	0.39	0	0	
PF3D7_0201000	PF3D7_0201000.1	rifin	RIF	PF3D7_0201000	0.18	0.98	0	0	0	0	0	
PF3D7_0201100	PF3D7_0201100.1	Plasmodium exported protein, unknown function, fragment	N/A	PF3D7_0201100	0	0	0	0	0	0	0	
PF3D7_0201200	PF3D7_0201200.1	rifin	RIF	PF3D7_0201200	0.79	0	0	0	0.33	0.59	0	
PF3D7_0201300	PF3D7_0201300.1	stevor	N/A	PF3D7_0201300	0.37	0.33	0	0	0	0.23	0	
PF3D7_0201400	PF3D7_0201400.1	Plasmodium exported protein (hyp10), unknown function	N/A	PF3D7_0201400	1.44	0	0	0	0	0.89	0	
PF3D7_0201500	PF3D7_0201500.1	Plasmodium exported protein (hyp9), unknown function	N/A	PF3D7_0201500	1.55	0.2	6.87	0	21.17	21.66	11.67	
PF3D7_0201600	PF3D7_0201600.1	PHISTb domain-containing RESA-like protein 1	RLP1	PF3D7_0201600	25.29	0.42	1.72	0	4.59	1.58	8.16	
PF3D7_0201700	PF3D7_0201700.1	DnaJ protein, putative	N/A	PF3D7_0201700	22	0.23	0.19	0	0.65	0.7	6.6	
PF3D7_0201800	PF3D7_0201800.1	knob associated heat shock protein 40	KAHsp40	PF3D7_0201800	28.99	0.61	1.48	0	4.17	0.99	4.7	
